artist,genre
The Mass Missile,rock
Andreas Rönnberg,rock
Mario Lanza,pop
Fire + Ice,folk
Space Echo,dance
IMPERVTOR,rusrap
Roman Messer,dance
Polina Griffith,dance
Shireen Abdul Wahab,world
Pink Floyd Floydhead,electronic
Ильдар Хакимов,pop
Detroit Grand Pubahs,dance
Arabesque,pop
HEALTH,alternative
Веданъ Колодъ,folk
Mother Goose Club,children
The Fabulous Three,rnb
Lil Tee Chill Tank Young Buck Brother Mohammed and Tara,hip
Exotype,rock
Hachidai Nakamura,jazz
Lowercase Noises,postrock
Nat King Cole,jazz
Genio Band,pop
Buena Vista Social Club,latin
Viola Valentino,pop
Рауф Абдуллаев Азербайджанский государственный симфонический оркестр,classical
Värttinä,world
Devathorn,metal
Young Rising Sons,alternative
Steve Angello,dance
Супердетки,ruspop
Zen,reggae
Ratt,rock
Beauty Brain,dance
Космонавты,alternative
Hazard,rusrap
Brick,rnb
Гузель Уразова,tatar
Ministers of Music,dance
Mooncat,pop
Peter Cetera,pop
Joelistics,hip
The Voss,dance
Thurston Harris,blues
Disney Peaceful Piano,instrumental
Sun Electric,dance
Паровоз до Кубы,rusrock
Dimatik,electronic
Soeur Sourire,jazz
Best Instrumentals,pop
Shoxruz Abadiya,pop
Nano D.A.,dance
Нейромонах Феофан,dnb
The Marcus King Band,rock
Pseudo Echo,electronic
Servet Kocakaya,türk
Maïak,post
Lesley Gore,pop
Kriss Ramirez,pop
Bluesolar,dance
Spa Relaxation and Dreams,instrumental
RaeLynn,country
InnerZone,psychedelic
Mansionair,electronic
Vanishing Twin,conjazz
Superior,reggae
Francis Mercier,electronic
Fagget Fairys,electronic
Дрыгва,metal
Kero Kero Bonito,electronic
Ex:Re,indie
Money Man,hip
Ice Nine Kills,posthardcore
FOrΣvΣrT,hip
Stay Flee Get Lizzy,hip
Rozhden,ruspop
Alina Orlova,local
Death in The Afternoon,pop
Paranormal Attack,electronic
Don Li,avantgarde
RL Grime,electronic
Montserrat Caballé,classical
Pat Benesta,pop
Sweatshop Boys,punk
Acumen Nation,videogame
Loney Dear,rock
Kygo,dance
Dean,rnb
Freezepop,electronic
Icky Blossoms,rock
ВАСИЛЕВСКАЯ,ruspop
Sound of the Future,reggae
Dr Fresch,electronic
Vol.2,reggae
The Jordanaires,christmas
TM13,rusrap
Igor Prado Band,blues
Dir En Grey,rock
Harold Budd,pop
La Banda del Karaoke,latin
Fit For A King,posthardcore
Thisell,folk
Шамиль Кашешов,melodic
Arlie,alternative
Республика,ruspop
The Twinners,electronic
Dj.Fresh,hip
Fitz and The Tantrums,indie
Wolfstone,world
Shtetl Band Amsterdam,world
Rido Zloy,rusrap
Александра Муканова,pop
Kasernenchor Wellersberg,pop
Nik Kershaw,pop
Светлана Степченко Группа московского камерного хора Эмин Хачатурян Симфонический оркестр Госкино СССР,children
The Manhattans,rnb
Canzoniere Grecanico Salentino,world
Загир Сатыров,caucasian
Рыжая и Черти,punk
Dymytry,metal
Enyris,instrumental
Лейсан Гимаева,tatar
Kirov Orchestra St Petersburg,classical
Christmas Hits,ruspop
Rawthang,electronic
girl in red,alternative
Wipers,punk
Raggae Tom,reggaeton
Doris Troy,rnb
Tag Shai,hip
Peter Gundry,soundtrack
The Rescues,rock
H'sao,world
The Goffs,children
Tiana,pop
Mehdi Yarrahi,world
Japanese Traditional Music Ensemble,world
Dark At Dawn,rock
Harrison Storm,singer
Infinitescore,classical
Master Lee,rusrock
Counterstrike,electronic
Designer Drugs,dance
Очень Высокое IQ,rusrock
Christopher Gordon,classical
Sto zvirat,ska
Alexz Johnson,soundtrack
Rahsaan Roland Kirk,jazz
Trap Toni,hip
Offbeat Orchestra,ruspop
Phobia,punk
DJ Rashad,electronic
Timmy.Pro,electronic
Wayne Jones,jazz
Михаил Грубов,shanson
Fuck Buttons,postrock
Mike Rowland,ambient
Mim,dance
Katiah,pop
Summer Hit Superstars,pop
Arborea,folk
Eddie Ojeda,rock
Пенкин С. & Мираж,ruspop
Sasha Holiday,dance
Helmut Zacharias,classical
Deichkind,hip
Invisible Planets,dance
Гульназ Асаева,pop
DJ Suss One,pop
Chris Rockford & DJ CrEdo,dance
Denis Arson,electronic
Films Movie,film
Anthony Strong,jazz
Sandy Rivera,dance
Okean Elzi,rusrap
Stefanie Scott,western
Génération TV,pop
Joe Harnell,soundtrack
Smokepurpp,rap
El Mashe,rusrap
Everyday Sunday,western
Zara Arshakian,dance
K7,electronic
L'Aupaire,pop
Andrius Klimka,soundtrack
Los Del Rio,latin
Kerge,rusrap
Malik Cox,hip
Mari Sainio,ambient
Neil Ormandy,dance
Ian,jazz
Peter Wackel,beats
Will 'o' Wisp,rock
Five Stone,hard'n'heavy
Beverley Knight,rnb
Polyphia,progmetal
Doktor Loop,minimal
Dirt McGirt,rap
Galeja,dance
Meredith Andrews,contemporary
In The Woods...,rock
Mindfulness Meditation Music Spa Maestro,new
Mooncircle,dance
Deathbearer,electronic
CFCF,folk
Rahatlatıcı Müzik Terapi,new
Wilbert Hazelzet,classical
Sam Booka,dance
"Rony ""Mr. Smooth"" Thomas",jazz
Майкл Данна,film
Gost,dance
J. Diamante,electronic
Wolf Rahm,rusrock
Kissy Sell Out,dance
Jeremy Choi,ambient
Evin Wolverton,folk
FYA,reggae
Khari Mateen,soul
Jazz Lounge System,electronic
Martha Reeves,rnb
Bo Kaspers Orkester,pop
K Medley,electronic
Trio Dmitrij,classical
Third Day,holiday
Corona,electronic
Akua Naru,hip
Jordan Feliz,rock
Rivergazer,electronic
Wena,pop
Dan Mervis,rock
Brainpain,electronic
Kalax,electronic
Romengo,world
Orchestra Baobab,world
George Duke,jazz
Jussi Syren and the Groundbreakers,country
Meechimerdoc,hip
Charlie Who?,dance
Young Nudy,hip
Noize Suppressor,electronic
Culture Shock,dance
Sofly,electronic
Inoculated Life,metal
The 5 Royales,rnb
ПоФрейду,ruspop
Mehmet  Güreli,world
Broken Back,indie
Devaldi,electronic
MOONZz,electronic
DaBoyDame,hip
The Mayan Factor,rock
Molina,alternative
The 5th Dimension,pop
Eric Donaldson,reggae
Böser Wolf,german
MyZZa,rusrap
Fedmate,electronic
F/A/V,alternative
Cepeda,pop
Павел Чехов,rusrock
E-Dubble,hip
Ольга Баскаева,ruspop
Роман Скорпион,pop
Juliet Roberts,pop
Chicco Secci,electronic
Cozi Zuehlsdorff,electronic
Seth Lakeman,world
Hände Frei,electronic
Greek Fire,rock
JØRD,techno
Villamizar,tropical
Франсуа Куперен,classical
Юрий Голышев,children
MR. KE4,hip
Tides Of Man,rock
Aeb,new
Jeedda Күннэй & Ый Суола,rock
Андрей Смирнов,hard'n'heavy
Ali Bakgor,electronic
Rust Blossom feat. Tom Gefen,electronic
Виктор Смирнов,fairytail
Jan Amit,electronic
Alob,spiritual
Lost Boy,dance
Fluff,electronic
Saje,pop
Вячеслав Осипов Оркестр Московского академического Музыкального театра имени Станиславского и Немировича-Данченко Георгий Жемчужин,classical
Del Amitri,rock
Mainz Chamber Orchestra,classical
Ra Ra Riot,indie
Manujothi,hip
Seda Sayan,world
Preservation Hall Jazz Band,classical
Cheek,hip
Shane Dawson,pop
Kuman,electronic
Филипп Киркоров,ruspop
Weech Lok,rap
Laid Back Townies,rock
Dj Gipnozzz,dance
BAYLA,pop
Marenikae,urban
We Are Toonz,rap
Kenny B,pop
Cro-mags,punk
Banda do Lambada Brasileña,latin
Tom Rain,dance
Adelén,pop
Sean Sahand,electronic
Romain Virgo,reggae
StudioNova,house
Борис Моисеев,holiday
The Vapors,pop
Elevation Worship,gospel
DJ Pippi,electronic
Mitsuko Uchida,classical
Grace Slick,rock
Cloud 19,videogame
GASHI,hip
Antichrist,electronic
ILYA KOLUNOV,ruspop
Tula,pop
ZieZie,pop
Anomalie,nujazz
Oh Be Clever,rock
Orden Ogan,folkmetal
Mermonte,pop
Joey Purp,hip
The George Benson Quartet,pop
Adam Jones,rock
Underøath,posthardcore
Drippy Cloud$,hip
Claudia Cazacu,trance
Burl Ives,miscellaneous
Fatih Erkoç,pop
Gladenfold,rock
Raf,pop
Furor Gallico,metal
Tre' No,hip
Lisa,pop
Karaoke Hits Band,pop
LuvBug,dance
Terror Jr,pop
Китай,rusrock
Isabelle Castro,pop
Fauxliage,dance
Love Eternal,reggae
Guru Josh,dance
Tight-A,rap
Rogue Traders,pop
Kel,ruspop
Longfellow,rock
St. Leroy II,hip
Rhymefest,folk
Mnogoznaal,rusrap
Oranjeboom,rock
Алеся Висич,ruspop
Lets Be Friends,dance
Unshine,metal
YOURCODENAMEIS:MILO,posthardcore
Ottokraft,electronic
Richard Lewis/James Milligan/John Cameron/Owen Brannigan/Glyndebourne Chorus/Peter Gellhorn/Pro Arte Orchestra/Sir Malcolm Sargent,classical
Brad Breeck,anime
Los Rakas,latin
David Crosby,rock
Ephe,singer
Mickey Factz,hip
Alihan Dze,rusrap
Nick Cave,soundtrack
Dutch Rhythm Combo,dance
Stee Downes,dance
Patrick Topping,dance
Владимир Володин,film
Troubled Horse,rock
Свободный полёт,rock
RÜFÜS,electronic
Karaoke - Barry Manilow,pop
Carolina Liar,pop
Black Bros.,rusrap
К.Т.Л. Ди Л.Л.,rusrap
Set to Stun,hardcore
Paul Pritchard,soundtrack
Zucchero,pop
Jan Reijnders,classical
Convictions,posthardcore
Midas Fall,rock
Trophy Eyes,alternative
Sirplus,hip
Alligators,rock
CosmoCats,rusrock
Vrudhula Santosh Kumar,world
Чебоза,rock
KMF,hip
DVOE,ruspop
Терпение,ruspop
Slash,rock
Cole Porter,jazz
Morgan Delt,progressive
The Cover Girl,dance
Madwave,dance
Raul Midon,pop
Лидия Русланова,ruspop
Quivver,electronic
Winner,pop
Лаурита,ruspop
